label,ir_mean,bb_mean,diff,d,t,p,n_ir,n_bb
Male (all ages),3.3125,3.2,0.11249999999999982,0.07831857937080142,0.216586941438737,0.830140170403651,16,15
"  → Male, 21-30",4.333333333333333,2.5714285714285716,1.7619047619047614,1.1623673912039258,2.4136138702977354,0.04254030048547649,3,7
"  → Male, 31-40",3.25,3.6666666666666665,-0.4166666666666665,-0.5040486490909447,-0.714285714285714,0.5076848816074252,4,3
"  → Male, 41-50",2.5,4.666666666666667,-2.166666666666667,-1.6510016510024768,-1.4100479758212652,0.37699531929428204,2,3
"  → Male, 50+",3.142857142857143,2.5,0.6428571428571428,0.40824829046386296,0.4020903464478932,0.7442008558225326,7,2
Female (all ages),3.142857142857143,3.466666666666667,-0.323809523809524,-0.23014805999264704,-0.6176872381060026,0.5420653132306517,14,15
"  → Female, 21-30",2.5,2.8333333333333335,-0.3333333333333335,-0.22325822887437916,-0.32616403652672127,0.7567307408283617,4,6
"  → Female, 31-40",3.25,4.0,-0.75,-0.6210590034081187,-0.8783100656536799,0.4179962288774479,4,4
"  → Female, 50+",3.5,4.0,-0.5,-0.31622776601683794,-0.4472135954999579,0.6710188946139792,4,4
